PSize;stype;H;W;ta;tf
HEA100;H;96;100;5.0;8.0
HEA120;H;114;120;5.0;8.0
HEA140;H;133;140;5.5;8.5
HEA160;H;152;160;6.0;9.0
HEA180;H;171;180;6.0;9.5
HEA200;H;190;200;6.5;10.0
HEA220;H;210;220;7.0;11.0
HEA240;H;230;240;7.5;12.0
HEA260;H;250;260;7.5;12.5
HEA280;H;270;280;8.0;13.0
HEA300;H;290;300;8.5;14.0
HEA320;H;310;300;9.0;15.5
HEA340;H;330;300;9.5;16.5
HEA360;H;350;300;10.0;17.5
HEA400;H;390;300;11.0;19.0
HEA450;H;440;300;11.5;21.0
HEA500;H;490;300;12.0;23.0
HEA550;H;540;300;12.5;24.0
HEA600;H;590;300;13.0;25.0
HEA650;H;640;300;13.5;26.0
HEA700;H;690;300;14.5;27.0
HEA800;H;790;300;15.0;28.0
HEA900;H;890;300;16.0;30.0
HEA1000;H;990;300;16.5;31.0
