Psize;Stype;H;W;ta
S24x121;H;622;204;20.3
S24×106;H;622;198;15.7
S24×100;H;610;189;18.9
S24x90;H;610;181;15.9
S24x80;H;610;178;12.7
S20x96;H;516;183;20.3
S20x86;H;516;179;16.8
S20x75;H;508;162;16.1
S20x66;H;508;159;12.8
S18x70;H;457;159;18.1
S18x54.7;H;457;152;11.7
S15x50;H;381;143;14
S15x42.9;H;381;140;10.4
S12x50;H;305;139;17.4
S12x40.8;H;305;133;11.7
S12x35;H;305;129;10.9
S12x31.8;H;305;127;8.89
S10x35;H;254;126;15.1
S10x25.4;H;254;118;7.9
S8x23;H;203;106;11.2
S8x18.4;H;203;102;6.88
S7x20;H;178;98;11.4
S7x15.3;H;178;93;6.4
S6x17.25;H;152;90.6;11.8
S6x12.5;H;152;84.6;5.89
S5x14.75;H;127;83.4;12.5
S5×10;H;127;76.3;5.44
S4x9.5;H;102;71;8.28
S4x7.7;H;102;67.6;4.9
S3x7.5;H;76.2;63.7;8.86
S3x5.7;H;76.2;59.2;4.32
