PSize;stype;H;W;ta;tf
W4x13;H;106.7;103.1;7.1;8.8
W5x16;H;127;101.6;6.4;9.7
W5x19;H;131.8;101.6;6.9;11.2
W6x9;H;152.4;101.6;4.4;6.1
W6x12;H;152.9;101.6;5.1;7.6
W6x15;H;152.4;152.4;5.8;9.1
W6x16;H;160;101.6;6.3;8.3
W6x20;H;157.5;152.4;6.2;9.3
W6x25;H;162.6;152.4;6.9;11.2
W8x10;H;200.7;101.6;4.3;5.7
W8x13;H;203.2;101.6;5.3;7.1
W8x15;H;206.2;101.6;5.8;8.4
W8x18;H;207.3;133.4;5.8;8.0
W8x21;H;210.3;133.4;6.4;9.3
W8x24;H;207.3;209.3;6.2;10.2
W8x28;H;213.4;209.3;7.2;13.3
W8x31;H;203.2;203.2;7.2;11.0
W8x35;H;206.2;203.2;7.9;12.6
W8x40;H;210.3;206.2;9.1;14.2
W8x48;H;215.9;209.3;10.2;17.4
W8x58;H;222.3;209.3;13.0;20.6
W8x67;H;228.6;209.3;14.4;23.6
W10x12;H;254.0;101.6;4.8;5.7
W10x15;H;256.5;101.6;5.8;7.3
W10x17;H;257.8;101.9;6.1;8.4
W10x19;H;260.4;101.9;6.4;10.0
W10x22;H;259.1;146.1;5.8;8.9
W10x26;H;262.9;146.1;6.6;11.2
W10x30;H;266.7;149.9;7.6;13.7
W10x33;H;247.7;200.7;7.4;11.4
W10x39;H;251.5;200.7;8.1;14.2
W10x45;H;255.3;200.7;8.9;16.8
W10x49;H;253.0;254.0;8.6;14.2
W10x54;H;256.5;254.0;9.4;16.3
W10x60;H;260.4;257.8;10.2;18.2
W10x68;H;265.2;254.0;11.9;21.6
W10x77;H;269.2;256.5;12.7;24.9
W10x88;H;274.3;264.2;14.5;28.4
W10x100;H;279.4;264.2;16.0;32.3
W10x112;H;284.5;264.2;17.7;36.6
W12x14;H;302.3;101.6;5.1;6.1
W12x16;H;302.3;101.6;5.6;7.6
W12x19;H;309.6;102.1;6.1;9.3
W12x22;H;312.4;102.1;6.4;10.9
W12x26;H;310.9;165.1;6.0;9.7
W12x30;H;314.5;165.1;6.6;11.7
W12x35;H;317.5;165.1;7.4;13.5
