PSize;OD;BendAngle;A;C;D;E;G;Conn
DN15;21.34;90;28.5;5.18;11;19;4.78;SW
DN20;26.67;90;35;6.04;14.8;22.5;5.56;SW
DN25;33.4;90;39.5;6.93;19.9;27;6.35;SW
DN32;42.16;90;44.5;6.93;28.7;32;6.35;SW
DN40;48.26;90;50.5;7.8;33.2;38;7.14;SW
DN50;60.32;90;57;9.5;42.1;41;8.74;SW
DN15;21.34;45;28.5;5.18;11;12.5;4.78;SW
DN20;26.67;45;35;6.04;14.8;14;5.56;SW
DN25;33.4;45;39.5;6.93;19.9;17.5;6.35;SW
DN32;42.16;45;44.5;6.93;28.7;20.5;6.35;SW
DN40;48.26;45;50.5;7.8;33.2;25.5;7.14;SW
DN50;60.32;45;57;9.5;42.1;28.5;8.74;SW
