PSize;OD;thk;BendAngle;BendRadius
DN10;17.145;1.8542;90;9.525
DN15;21.336;2.413;90;12.7
DN20;26.67;2.413;90;19.05
DN25;33.401;2.8956;90;25.4
DN32;42.164;2.9718;90;31.75
DN40;48.26;3.175;90;38.1
DN50;60.325;3.175;90;50.8
DN65;73.025;4.7752;90;63.5
DN80;88.9;4.7752;90;76.2
DN90;101.6;4.7752;90;88.9
DN100;114.3;4.7752;90;101.6
DN200;219.075;7.0358;90;203.2
DN250;273.05;7.7978;90;254
DN300;323.85;8.382;90;304.8
DN350;355.6;9.525;90;355.6
DN400;406.4;9.525;90;406.4
DN450;457.2;11.1252;90;457.2
DN500;508;12.7;90;508
DN550;558.8;12.7;90;558.8
DN600;609.6;14.2748;90;609.6
