PSize;OD;thk;BendAngle;BendRadius
DN6;10.287;1.7272;45;4.7625
DN8;13.716;2.2352;45;9.525
DN10;17.145;2.3114;45;14.2875
DN15;21.336;2.7686;45;19.05
DN20;26.67;2.8702;45;28.575
DN25;33.401;3.3782;45;38.1
DN32;42.164;3.556;45;47.625
DN40;48.26;3.683;45;57.15
DN50;60.325;3.9116;45;76.2
DN65;73.025;5.1562;45;95.25
DN80;88.9;5.4864;45;114.3
DN90;101.6;5.7404;45;133.35
DN100;114.3;6.0198;45;152.4
DN125;141.3002;6.5532;45;190.5
DN150;168.275;7.112;45;228.6
DN200;219.075;8.1788;45;304.8
DN250;273.05;9.271;45;381
DN300;323.85;10.3124;45;457.2
DN350;355.6;11.1252;45;533.4
DN400;406.4;12.7;45;609.6
DN450;457.2;14.2748;45;685.8
DN500;508;15.0876;45;762
DN600;609.6;17.4752;45;914.4
