PSize;OD;thk;BendAngle;BendRadius
DN6;10.287;2.413;45;3.175
DN8;13.716;3.0226;45;6.35
DN10;17.145;3.2004;45;9.525
DN15;21.336;3.7338;45;12.7
DN20;26.67;3.9116;45;19.05
DN25;33.401;4.5466;45;25.4
DN32;42.164;4.8514;45;31.75
DN40;48.26;5.08;45;38.1
DN50;60.325;5.5372;45;50.8
DN65;73.025;7.0104;45;63.5
DN80;88.9;7.62;45;76.2
DN90;101.6;8.0772;45;88.9
DN100;114.3;8.5598;45;101.6
DN125;141.3002;9.525;45;127
DN150;168.275;10.9728;45;152.4
DN200;219.075;12.7;45;203.2
DN250;273.05;12.7;45;254
DN300;323.85;12.7;45;304.8
DN350;355.6;12.7;45;355.6
DN400;406.4;12.7;45;406.4
DN450;457.2;12.7;45;457.2
DN500;508;12.7;45;508
DN550;558.8;12.7;45;558.8
DN600;609.6;12.7;45;609.6
