PSize;FlangeType;D;t;f;n;df;drf;trf
DN15;BL;95.25;14.22;15.75;4;66.55;35.05;1.6
DN20;BL;117.35;15.75;19.05;4;82.55;42.93;1.6
DN25;BL;123.95;17.53;19.05;4;88.9;50.8;1.6
DN32;BL;133.35;19.05;19.05;4;98.55;63.5;1.6
DN40;BL;165.45;20.57;22.35;4;114.3;73.15;1.6
DN50;BL;165.1;22.35;19.05;8;127;91.95;1.6
DN65;BL;190.5;25.4;22.35;8;149.35;104.65;1.6
DN80;BL;209.55;28.45;22.35;8;168.15;127;1.6
DN90;BL;228.6;30.23;22.35;8;184.15;139.7;1.6
DN100;BL;254;31.75;22.35;8;200.15;157.23;1.6
DN125;BL;279.4;35.05;22.35;8;234.95;185.67;1.6
DN150;BL;317.5;38.58;22.35;12;269.75;215.9;1.6
DN200;BL;381;41.15;25.4;12;330.2;269.75;1.6
DN250;BL;444.5;47.75;28.45;16;387.35;323.85;1.6
DN300;BL;520.7;50.8;31.75;16;450.85;381;1.6
DN350;BL;584.2;53.85;31.75;20;514.35;412.75;1.6
DN400;BL;647.7;57.15;35.05;20;571.5;469.9;1.6
DN450;BL;711.2;60.45;35.05;24;628.65;533.4;1.6
DN500;BL;774.7;63.5;35.05;24;685.8;584.2;1.6
