PSize;OD;thk;A;B;Ang;Conn
DN6;10.29;2.41;15.875;25.4;0;BW
DN8;13.72;3.02;15.875;25.4;0;BW
DN10;17.14;3.2;19.05;31.75;0;BW
DN15;21.34;3.73;19.05;34.93;0;BW
DN20;26.67;3.91;22.23;44.45;0;BW
DN25;33.4;4.55;26.99;53.98;0;BW
DN32;42.16;4.85;31.75;65.09;0;BW
DN40;48.26;5.08;33.34;73;0;BW
DN50;60.32;5.54;38.1;88.9;0;BW
DN65;73.02;7.01;41.28;103.19;0;BW
DN80;88.9;7.62;44.45;122.24;0;BW
DN90;101.6;8.08;47.63;142.88;0;BW
DN100;114.3;8.56;50.8;152.4;0;BW
DN125;141.3;9.52;57.15;179.39;0;BW
DN150;168.27;10.97;60.3;215.9;0;BW
DN200;219.07;12.7;69.85;263.53;0;BW
DN250;273.05;12.7;77.79;322.26;0;BW
DN300;323.85;12.7;85.73;377.83;0;BW
DN350;355.6;12.7;88.9;409.58;0;BW
DN400;406.4;12.7;93.66;463.55;0;BW
DN450;457.2;12.7;96.84;520.7;0;BW
DN500;508;12.7;101.6;571.5;0;BW
DN600;609.6;12.7;115.89;688.98;0;BW
DN8;13.72;3.02;39.69;53.18;45;BW
DN10;17.14;3.2;39.69;53.18;45;BW
DN15;21.34;3.73;39.69;54.77;45;BW
DN20;26.67;3.91;48.42;64.29;45;BW
DN25;33.4;4.55;55.56;76.2;45;BW
DN32;42.16;4.85;62.71;91.28;45;BW
DN40;48.26;5.08;66.68;100.81;45;BW
DN50;60.32;5.54;86.52;133.35;45;BW
DN65;73.02;7.01;80.17;131.76;45;BW
DN80;88.9;7.62;96.04;158.75;45;BW
DN100;114.3;8.56;115.89;198.44;45;BW
