PSize;OD;thk;A;B;Ang;Conn
DN6;10.29;4.83;15.875;25.4;0;BW
DN8;13.72;6.05;15.875;25.4;0;BW
DN10;17.14;6.4;19.05;31.75;0;BW
DN15;21.34;7.47;19.05;34.93;0;BW
DN20;26.67;7.82;22.23;44.45;0;BW
DN25;33.4;9.09;26.99;53.98;0;BW
DN32;42.16;9.7;31.75;65.09;0;BW
DN40;48.26;10.16;33.34;73;0;BW
DN50;60.32;11.07;38.1;88.9;0;BW
DN65;73.02;14.02;41.28;103.19;0;BW
DN80;88.9;15.24;44.45;122.24;0;BW
DN90;101.6;;47.63;142.88;0;BW
DN100;114.3;17.12;50.8;152.4;0;BW
DN125;141.3;19.05;57.15;179.39;0;BW
DN150;168.27;21.95;60.3;215.9;0;BW
DN200;219.07;22.22;69.85;263.53;0;BW
DN250;273.05;25.4;77.79;322.26;0;BW
DN300;323.85;25.4;85.73;377.83;0;BW
