standart;SSize;stype;H;W;ta;tf;;;;;;;;;
IPE;IPE80;H;80;46;3.8;5.2;;;;;;;;;
IPE;IPE100;H;100;55;4.1;5.7;;;;;;;;;
IPE;IPE120;H;120;64;4.4;6.3;;;;;;;;;
IPE;IPE140;H;140;73;4.7;6.9;;;;;;;;;
IPE;IPE160;H;160;82;5;7.4;;;;;;;;;
IPE;IPE180;H;180;91;5.3;8;;;;;;;;;
IPE;IPE200;H;200;100;5.6;8.5;;;;;;;;;
IPE;IPE220;H;220;110;5.9;9.2;;;;;;;;;
IPE;IPE240;H;240;120;6.2;9.8;;;;;;;;;
IPE;IPE270;H;270;135;6.6;10.2;;;;;;;;;
IPE;IPE300;H;300;150;7.1;10.7;;;;;;;;;
IPE;IPE330;H;330;160;7.5;11.5;;;;;;;;;
IPE;IPE360;H;360;170;8;12.7;;;;;;;;;
IPE;IPE400;H;400;180;8.6;13.5;;;;;;;;;
IPE;IP3450;H;450;190;9.4;14.6;;;;;;;;;
IPE;IPE500;H;500;200;10.2;16;;;;;;;;;
IPE;IPE550;H;550;210;11.1;17.2;;;;;;;;;
IPE;IPE600;H;600;220;12;19;;;;;;;;;
