standart;SSize;stype;H;W;ta;tf
RH;RH20x10x1.5;RH;20;10;1.5;1.5
RH;RH30x10x1.2;RH;30;10;1.2;1.2
RH;RH30x10x1.5;RH;30;10;1.5;1.5
RH;RH30x15x1.2;RH;30;15;1.2;1.2
RH;RH30x15x1.5;RH;30;15;1.5;1.5
RH;RH30x20x1.2;RH;30;20;1.2;1.2
RH;RH30x20x1.5;RH;30;20;1.5;1.5
RH;RH40x15x1.5;RH;40;15;1.5;1.5
RH;RH40x20x1.2;RH;40;20;1.2;1.2
RH;RH40x20x1.5;RH;40;20;1.5;1.5
RH;RH40x20x2;RH;40;20;2;2
RH;RH40x40x5;RH;40;40;5;5
RH;RH50x25x1.2;RH;50;25;1.2;1.2
RH;RH50x25x1.5;RH;50;25;1.5;1.5
RH;RH50x25x2;RH;50;25;2;2
RH;RH50x25x3;RH;50;25;3;3
RH;RH50x30x1.5;RH;50;30;1.5;1.5
RH;RH50x30x3;RH;50;30;3;3
RH;RH50x50x5;RH;50;50;5;5
RH;RH60x20x1.5;RH;60;20;1.5;1.5
RH;RH60x20x2;RH;60;20;2;2
RH;RH60x30x1.2;RH;60;30;1.2;1.2
RH;RH60x30x2;RH;60;30;2;2
