standart;SSize;stype;H;W;slot_width;slot_depth;;;;;;;;;
T-Slot;T-slot20x20;TSLOT;20;20;4;8;;;;;;;;;
T-Slot;T-slot25x25;TSLOT;120;114;5;8;;;;;;;;;
T-Slot;T-slot30x30;TSLOT;140;133;5.5;8.5;;;;;;;;;
T-Slot;T-slot40x40;TSLOT;0;152;6;9;;;;;;;;;
T-Slot;T-slot40x40-L;TSLOT;0;171;6;9.5;;;;;;;;;
T-Slot;T-slot40x40-UL;TSLOT;0;190;6.5;10;;;;;;;;;
T-Slot;T-slot40x80;TSLOT;0;210;7;11;;;;;;;;;
T-Slot;T-slot40x80-L;TSLOT;230;7.5;12;;;;;;;;;
T-Slot;T-slot45x45;TSLOT;0;250;7.5;12.5;;;;;;;;;
T-Slot;T-slot45x45-L;TSLOT;0;250;7.5;12.5;;;;;;;;;
T-Slot;T-slot25x50;TSLOT;0;270;8;13;;;;;;;;;
T-Slot;T-slot25x14;TSLOT;0;290;8.5;14;;;;;;;;;
T-Slot;T-slot20x40;TSLOT;0;310;9;15.5;;;;;;;;;
T-Slot;T-slot80x80;TSLOT;0;330;9.5;16.5;;;;;;;;;
T-Slot;T-slot40x03;TSLOT;300;350;10;17.5;;;;;;;;;
T-Slot;T-slot50x50;TSLOT;300;350;10;17.5;;;;;;;;;
T-Slot;T-slot25x76;TSLOT;300;350;10;17.5;;;;;;;;;
T-Slot;T-slot30x60;TSLOT;300;350;10;17.5;;;;;;;;;
T-Slot;T-slot45x90;TSLOT;300;350;10;17.5;;;;;;;;;
T-Slot;T-slot90x90;TSLOT;300;350;10;17.5;;;;;;;;;
