PSize;PSizeBranch;OD;OD2;A;C;D;E;G;Conn
DN15;DN15;21.34;21.34;28.5;5.18;11;19;4.78;SW
DN20;DN15;26.67;21.34;35;6.04;14.8;22.5;5.56;SW
DN20;DN20;26.67;26.67;35;6.04;14.8;22.5;5.56;SW
DN25;DN15;33.4;21.34;39.5;6.93;19.9;27;6.35;SW
DN25;DN20;33.4;26.67;39.5;6.93;19.9;27;6.35;SW
DN25;DN25;33.4;33.4;39.5;6.93;19.9;27;6.35;SW
DN32;DN15;42.16;21.34;44.5;6.93;28.7;32;6.35;SW
DN32;DN20;42.16;26.67;44.5;6.93;28.7;32;6.35;SW
DN32;DN25;42.16;33.4;44.5;6.93;28.7;32;6.35;SW
DN32;DN32;42.16;42.16;44.5;6.93;28.7;32;6.35;SW
DN40;DN15;48.26;21.34;50.5;7.8;33.2;38;7.14;SW
DN40;DN20;48.26;26.67;50.5;7.8;33.2;38;7.14;SW
DN40;DN25;48.26;33.4;50.5;7.8;33.2;38;7.14;SW
DN40;DN32;48.26;42.16;50.5;7.8;33.2;38;7.14;SW
DN40;DN40;48.26;48.26;50.5;7.8;33.2;38;7.14;SW
DN50;DN15;60.32;21.34;57;9.5;42.1;41;8.74;SW
DN50;DN20;60.32;26.67;57;9.5;42.1;41;8.74;SW
DN50;DN25;60.32;33.4;57;9.5;42.1;41;8.74;SW
DN50;DN32;60.32;42.16;57;9.5;42.1;41;8.74;SW
DN50;DN40;60.32;48.26;57;9.5;42.1;41;8.74;SW
DN50;DN50;60.32;60.32;57;9.5;42.1;41;8.74;SW
