PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN200;DN200;219.075;219.075;6.35;6.35;178;178
DN250;DN250;273.05;273.05;6.35;6.35;216;216
DN300;DN300;323.85;323.85;6.35;6.35;254;254
DN350;DN350;355.6;355.6;7.9248;7.9248;279;279
DN400;DN400;406.4;406.4;7.9248;7.9248;305;305
DN450;DN450;457.2;457.2;7.9248;7.9248;343;343
DN500;DN500;508;508;9.525;9.525;381;381
DN550;DN550;558.8;558.8;9.525;9.525;419;419
DN600;DN600;609.6;609.6;9.525;9.525;432;432
DN250;DN200;273.05;219.075;6.35;6.35;216;203
DN300;DN250;323.85;273.05;6.35;6.35;254;241
DN300;DN200;323.85;219.075;6.35;6.35;254;229
DN350;DN300;355.6;323.85;7.9248;6.35;279;270
DN350;DN250;355.6;273.05;7.9248;6.35;279;257
DN350;DN200;355.6;219.075;7.9248;6.35;279;248
DN400;DN350;406.4;355.6;7.9248;7.9248;305;305
DN400;DN300;406.4;323.85;7.9248;6.35;305;295
DN400;DN250;406.4;273.05;7.9248;6.35;305;283
DN400;DN200;406.4;219.075;7.9248;6.35;305;273
DN450;DN400;457.2;406.4;7.9248;7.9248;343;330
DN450;DN350;457.2;355.6;7.9248;7.9248;343;330
DN450;DN300;457.2;323.85;7.9248;6.35;343;321
DN450;DN250;457.2;273.05;7.9248;6.35;343;308
DN450;DN200;457.2;219.075;7.9248;6.35;343;298
DN500;DN450;508;457.2;9.525;7.9248;381;368
DN500;DN400;508;406.4;9.525;7.9248;381;356
DN500;DN350;508;355.6;9.525;7.9248;381;356
DN500;DN300;508;323.85;9.525;6.35;381;346
DN500;DN250;508;273.05;9.525;6.35;381;333
DN500;DN200;508;219.075;9.525;6.35;381;324
DN550;DN500;558.8;508;9.525;9.525;419;406
DN550;DN450;558.8;457.2;9.525;7.9248;419;394
DN550;DN400;558.8;406.4;9.525;7.9248;419;381
DN550;DN350;558.8;355.6;9.525;7.9248;419;381
DN550;DN300;558.8;323.85;9.525;6.35;419;371
DN550;DN250;558.8;273.05;9.525;6.35;419;359
DN600;DN550;609.6;558.8;9.525;9.525;432;432
DN600;DN500;609.6;508;9.525;9.525;432;432
DN600;DN450;609.6;457.2;9.525;7.9248;432;419
DN600;DN400;609.6;406.4;9.525;7.9248;432;406
DN600;DN350;609.6;355.6;9.525;7.9248;432;406
DN600;DN300;609.6;323.85;9.525;6.35;432;397
DN600;DN250;609.6;273.05;9.525;6.35;432;384
