PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN15;DN15;21.336;21.336;2.7686;2.7686;25;25
DN20;DN20;26.67;26.67;2.8702;2.8702;29;29
DN25;DN25;33.401;33.401;3.3782;3.3782;38;38
DN32;DN32;42.164;42.164;3.556;3.556;48;48
DN40;DN40;48.26;48.26;3.683;3.683;57;57
DN50;DN50;60.325;60.325;3.9116;3.9116;64;64
DN65;DN65;73.025;73.025;5.1562;5.1562;76;76
DN80;DN80;88.9;88.9;5.4864;5.4864;86;86
DN90;DN90;101.6;101.6;5.7404;5.7404;95;95
DN100;DN100;114.3;114.3;6.0198;6.0198;105;105
DN125;DN125;141.3002;141.3002;6.5532;6.5532;124;124
DN150;DN150;168.275;168.275;7.112;7.112;143;143
DN200;DN200;219.075;219.075;8.1788;8.1788;178;178
DN250;DN250;273.05;273.05;9.271;9.271;216;216
DN300;DN300;323.85;323.85;9.525;9.525;254;254
DN350;DN350;355.6;355.6;9.525;9.525;279;279
DN400;DN400;406.4;406.4;9.525;9.525;305;305
DN450;DN450;457.2;457.2;9.525;9.525;343;343
DN500;DN500;508;508;9.525;9.525;381;381
DN550;DN550;558.8;558.8;9.525;9.525;419;419
DN600;DN600;609.6;609.6;9.525;9.525;432;432
DN15;DN10;21.336;17.145;2.7686;2.3114;25;25
DN15;DN8;21.336;13.716;2.7686;2.2352;25;25
DN20;DN15;26.67;21.336;2.8702;2.7686;29;29
DN20;DN10;26.67;17.145;2.8702;2.3114;29;29
DN25;DN20;33.401;26.67;3.3782;2.8702;38;38
DN25;DN15;33.401;21.336;3.3782;2.7686;38;38
DN32;DN25;42.164;33.401;3.556;3.3782;48;48
DN32;DN20;42.164;26.67;3.556;2.8702;48;48
DN32;DN15;42.164;21.336;3.556;2.7686;48;48
DN40;DN40;48.26;48.26;3.683;3.683;57;57
DN40;DN25;48.26;33.401;3.683;3.3782;57;57
DN40;DN20;48.26;26.67;3.683;2.8702;57;57
DN40;DN15;48.26;21.336;3.683;2.7686;57;57
DN50;DN40;60.325;48.26;3.9116;3.683;64;60
DN50;DN32;60.325;42.164;3.9116;3.556;64;57
DN50;DN25;60.325;33.401;3.9116;3.3782;64;51
DN50;DN20;60.325;26.67;3.9116;2.8702;64;44
DN65;DN50;73.025;60.325;5.1562;3.9116;76;70
DN65;DN40;73.025;48.26;5.1562;3.683;76;67
DN65;DN32;73.025;42.164;5.1562;3.556;76;64
DN65;DN25;73.025;33.401;5.1562;3.3782;76;57
DN80;DN65;88.9;73.025;5.4864;5.1562;86;83
DN80;DN50;88.9;60.325;5.4864;3.9116;86;76
DN80;DN40;88.9;48.26;5.4864;3.683;86;73
DN80;DN32;88.9;42.164;5.4864;3.556;86;70
DN90;DN80;101.6;88.9;5.7404;5.4864;95;92
DN90;DN65;101.6;73.025;5.7404;5.1562;95;89
DN90;DN50;101.6;60.325;5.7404;3.9116;95;83
DN90;DN40;101.6;48.26;5.7404;3.683;95;79
DN100;DN90;114.3;101.6;6.0198;5.7404;105;102
DN100;DN80;114.3;88.9;6.0198;5.4864;105;98
DN100;DN65;114.3;73.025;6.0198;5.1562;105;95
DN100;DN50;114.3;60.325;6.0198;3.9116;105;89
DN100;DN40;114.3;48.26;6.0198;3.683;105;86
DN125;DN100;141.3002;114.3;6.5532;6.0198;124;117
DN125;DN90;141.3002;101.6;6.5532;5.7404;124;114
