PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN15;DN15;21.34;21.34;2.77;2.77;25;25
DN20;DN20;26.67;26.67;2.87;2.87;29;29
DN25;DN25;33.4;33.4;3.38;3.38;38;38
DN32;DN25;42.16;33.4;3.56;3.38;48;48
DN32;DN32;42.16;42.16;3.56;3.56;48;48
DN40;DN25;48.26;33.4;3.68;3.38;57;57
DN40;DN32;48.26;42.16;3.68;3.56;57;57
DN40;DN40;48.26;48.26;3.68;3.68;57;57
DN50;DN25;60.32;33.4;3.91;3.38;64;51
DN50;DN32;60.32;42.16;3.91;3.56;64;57
DN50;DN40;60.32;48.26;3.91;3.68;64;60
DN50;DN50;60.32;60.32;3.91;3.91;64;64
DN65;DN25;73.02;33.4;5.16;3.38;76;57
DN65;DN32;73.02;42.16;5.16;3.56;76;64
DN65;DN40;73.02;48.26;5.16;3.68;76;67
DN65;DN50;73.02;60.32;5.16;3.91;76;70
DN65;DN65;73.02;73.02;5.16;5.16;76;76
DN80;DN32;88.9;42.16;5.49;3.56;86;70
DN80;DN40;88.9;48.26;5.49;3.68;86;73
DN80;DN50;88.9;60.32;5.49;3.91;86;76
DN80;DN80;88.9;88.9;5.49;5.49;86;86
DN90;DN90;101.6;101.6;5.74;5.74;95;95
DN100;DN40;114.3;48.26;6.02;3.68;105;86
DN100;DN50;114.3;60.32;6.02;3.91;105;89
DN100;DN80;114.3;88.9;6.02;5.49;105;98
DN100;DN100;114.3;114.3;6.02;6.02;105;105
DN125;DN125;141.3;141.3;6.55;6.55;124;124
DN150;DN80;168.27;88.9;7.11;5.49;143;124
DN150;DN100;168.27;114.3;7.11;6.02;143;130
DN150;DN150;168.27;168.27;7.11;7.11;143;143
DN200;DN100;219.07;114.3;8.18;6.02;178;156
DN200;DN150;219.07;168.27;8.18;7.11;178;168
DN200;DN200;219.07;219.07;8.18;8.18;178;178
DN250;DN100;273.05;114.3;7.8;6.02;216;184
DN250;DN150;273.05;168.27;7.8;7.11;216;194
DN250;DN200;273.05;219.07;7.8;8.18;216;203
DN250;DN250;273.05;273.05;7.8;7.8;216;216
DN300;DN150;323.85;168.27;9.52;7.11;254;219
DN300;DN200;323.85;219.07;9.52;8.18;254;229
DN300;DN250;323.85;273.05;9.52;7.8;254;241
DN300;DN300;323.85;323.85;9.52;9.52;254;254
DN350;DN150;355.6;168.27;9.52;7.11;279;238
DN350;DN200;355.6;219.07;9.52;8.18;279;248
DN350;DN250;355.6;273.05;9.52;7.8;279;257
DN350;DN300;355.6;323.85;9.52;9.52;279;270
DN350;DN350;355.6;355.6;9.52;9.52;279;279
DN400;DN150;406.4;168.27;9.52;7.11;305;264
DN400;DN200;406.4;219.07;9.52;8.18;305;273
DN400;DN250;406.4;273.05;9.52;7.8;305;283
DN400;DN300;406.4;323.85;9.52;9.52;305;295
DN400;DN350;406.4;355.6;9.52;9.52;305;305
DN400;DN400;406.4;406.4;9.52;9.52;305;305
DN450;DN200;457.2;219.07;9.52;8.18;343;298
DN450;DN250;457.2;273.05;9.52;7.8;343;308
DN450;DN300;457.2;323.85;9.52;9.52;343;321
DN450;DN350;457.2;355.6;9.52;9.52;343;330
DN450;DN400;457.2;406.4;9.52;9.52;343;330
DN450;DN450;457.2;457.2;9.52;9.52;343;343
DN500;DN200;508;219.07;9.52;8.18;381;324
DN500;DN250;508;273.05;9.52;7.8;381;333
DN500;DN300;508;323.85;9.52;9.52;381;346
DN500;DN350;508;355.6;9.52;9.52;381;356
DN500;DN400;508;406.4;9.52;9.52;381;356
DN500;DN450;508;457.2;9.52;9.52;381;368
DN500;DN500;508;508;9.52;9.52;381;381
DN550;DN250;558.8;273.05;9.52;7.8;419;359
DN550;DN300;558.8;323.85;9.52;9.52;419;371
DN550;DN350;558.8;355.6;9.52;9.52;419;381
DN550;DN400;558.8;406.4;9.52;9.52;419;381
DN550;DN450;558.8;457.2;9.52;9.52;419;394
DN550;DN500;558.8;508;9.52;9.52;419;406
DN550;DN550;558.8;558.8;9.52;9.52;419;419
DN600;DN250;609.6;273.05;9.52;7.8;432;384
DN600;DN300;609.6;323.85;9.52;9.52;432;397
DN600;DN350;609.6;355.6;9.52;9.52;432;406
DN600;DN400;609.6;406.4;9.52;9.52;432;406
DN600;DN450;609.6;457.2;9.52;9.52;432;419
DN600;DN500;609.6;508;9.52;9.52;432;432
DN600;DN550;609.6;558.8;9.52;9.52;432;432
DN600;DN600;609.6;609.6;9.52;9.52;432;432
