PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN15;DN15;21.336;21.336;7.4676;7.4676;25;25
DN20;DN20;26.67;26.67;7.8232;7.8232;29;29
DN25;DN25;33.401;33.401;9.0932;9.0932;38;38
DN32;DN32;42.164;42.164;9.7028;9.7028;48;48
DN40;DN40;48.26;48.26;10.16;10.16;57;57
DN50;DN50;60.325;60.325;11.0744;11.0744;64;64
DN65;DN65;73.025;73.025;14.0208;14.0208;76;76
DN80;DN80;88.9;88.9;15.24;15.24;86;86
DN90;DN90;101.6;101.6;16.1544;16.1544;95;95
DN100;DN100;114.3;114.3;17.1196;17.1196;105;105
DN125;DN125;141.3002;141.3002;19.05;19.05;124;124
DN150;DN150;168.275;168.275;21.9456;21.9456;143;143
DN200;DN200;219.075;219.075;22.225;22.225;178;178
DN250;DN250;273.05;273.05;25.4;25.4;216;216
DN300;DN300;323.85;323.85;25.4;25.4;254;254
DN20;DN15;26.67;21.336;7.8232;7.4676;29;29
DN25;DN20;33.401;26.67;9.0932;7.8232;38;38
DN25;DN15;33.401;21.336;9.0932;7.4676;38;38
DN32;DN25;42.164;33.401;9.7028;9.0932;48;48
DN32;DN20;42.164;26.67;9.7028;7.8232;48;48
DN32;DN15;42.164;21.336;9.7028;7.4676;48;48
DN40;DN40;48.26;48.26;10.16;10.16;57;57
DN40;DN25;48.26;33.401;10.16;9.0932;57;57
DN40;DN20;48.26;26.67;10.16;7.8232;57;57
DN40;DN15;48.26;21.336;10.16;7.4676;57;57
DN50;DN40;60.325;48.26;11.0744;10.16;64;60
DN50;DN32;60.325;42.164;11.0744;9.7028;64;57
DN50;DN25;60.325;33.401;11.0744;9.0932;64;51
DN50;DN20;60.325;26.67;11.0744;7.8232;64;44
DN65;DN50;73.025;60.325;14.0208;11.0744;76;70
DN65;DN40;73.025;48.26;14.0208;10.16;76;67
DN65;DN32;73.025;42.164;14.0208;9.7028;76;64
DN65;DN25;73.025;33.401;14.0208;9.0932;76;57
DN80;DN65;88.9;73.025;15.24;14.0208;86;83
DN80;DN50;88.9;60.325;15.24;11.0744;86;76
DN80;DN40;88.9;48.26;15.24;10.16;86;73
DN80;DN32;88.9;42.164;15.24;9.7028;86;70
DN90;DN80;101.6;88.9;16.1544;15.24;95;92
DN90;DN65;101.6;73.025;16.1544;14.0208;95;89
DN90;DN50;101.6;60.325;16.1544;11.0744;95;83
DN90;DN40;101.6;48.26;16.1544;10.16;95;79
DN100;DN90;114.3;101.6;17.1196;16.1544;105;102
DN100;DN80;114.3;88.9;17.1196;15.24;105;98
DN100;DN65;114.3;73.025;17.1196;14.0208;105;95
DN100;DN50;114.3;60.325;17.1196;11.0744;105;89
DN100;DN40;114.3;48.26;17.1196;10.16;105;86
DN125;DN100;141.3002;114.3;19.05;17.1196;124;117
DN125;DN90;141.3002;101.6;19.05;16.1544;124;114
DN125;DN80;141.3002;88.9;19.05;15.24;124;111
DN125;DN65;141.3002;73.025;19.05;14.0208;124;108
DN125;DN50;141.3002;60.325;19.05;11.0744;124;105
DN150;DN125;168.275;141.3002;21.9456;19.05;143;137
DN150;DN100;168.275;114.3;21.9456;17.1196;143;130
DN150;DN90;168.275;101.6;21.9456;16.1544;143;127
DN150;DN80;168.275;88.9;21.9456;15.24;143;124
DN150;DN65;168.275;73.025;21.9456;14.0208;143;121
DN200;DN150;219.075;168.275;22.225;21.9456;178;168
DN200;DN125;219.075;141.3002;22.225;19.05;178;162
DN200;DN100;219.075;114.3;22.225;17.1196;178;156
DN200;DN90;219.075;101.6;22.225;16.1544;178;152
DN250;DN200;273.05;219.075;25.4;22.225;216;203
DN250;DN150;273.05;168.275;25.4;21.9456;216;194
DN250;DN125;273.05;141.3002;25.4;19.05;216;191
DN250;DN100;273.05;114.3;25.4;17.1196;216;184
DN300;DN250;323.85;273.05;25.4;25.4;254;241
DN300;DN200;323.85;219.075;25.4;22.225;254;229
DN300;DN150;323.85;168.275;25.4;21.9456;254;219
DN300;DN125;323.85;141.3002;25.4;19.05;254;216
